id,first_name,last_name,country,department,age,score,gender,enrollment_date
1,Ayesha,Ahmed,UK,Software Eng,19,292,Male,2024-01-18
2,Hina,Hussain,UK,Data Science,30,254,Male,2023-09-07
3,Ahmed,Khan,USA,Computer Science,23,702,Female,2023-05-02
4,Daniel,Ali,Germany,AI,20,713,Female,2022-10-15
5,John,Williams,UK,Business Analytics,23,703,Male,2022-09-19
6,David,Ali,USA,Business Analytics,27,349,Male,2023-06-15
7,Ayesha,Ali,India,Business Analytics,21,930,Male,2022-08-06
8,David,Ahmed,Pakistan,AI,26,859,Male,2022-07-16
9,Ali,Smith,India,Business Analytics,23,689,Female,2023-06-26
10,John,Hussain,Germany,Software Eng,24,984,Female,2022-03-27
11,Fatima,Ali,Pakistan,Data Science,30,553,Male,2024-05-05
12,Sara,Taylor,Canada,Business Analytics,29,334,Female,2024-06-17
13,Sara,Smith,Pakistan,Software Eng,28,524,Female,2022-06-06
14,Fatima,Smith,India,AI,25,404,Female,2022-11-03
15,Daniel,Iqbal,Canada,Software Eng,21,402,Female,2022-04-10
16,Ayesha,Ali,Germany,Business Analytics,26,233,Female,2023-09-12
17,John,Williams,USA,Business Analytics,22,497,Male,2024-09-14
18,Maria,Ahmed,Pakistan,Computer Science,21,390,Male,2024-05-14
19,Ahmed,Ahmed,Germany,Computer Science,22,398,Female,2024-04-17
20,Ali,Taylor,Canada,Computer Science,23,657,Female,2022-08-22
21,Daniel,Taylor,India,Software Eng,23,753,Male,2023-04-13
22,John,Johnson,Germany,Software Eng,28,731,Female,2023-01-04
23,Ayesha,Williams,India,Software Eng,19,774,Male,2023-01-24
24,Ahmed,Hussain,Germany,Business Analytics,29,437,Male,2022-04-22
25,Ahmed,Taylor,Canada,AI,25,924,Male,2022-09-28
26,Fatima,Brown,Canada,Business Analytics,18,341,Male,2024-07-23
27,John,Hussain,India,Computer Science,26,492,Female,2022-12-04
28,Ahmed,Hussain,USA,Computer Science,27,592,Male,2024-08-05
29,Fatima,Brown,Canada,Data Science,26,576,Male,2023-08-14
30,David,Khan,UK,Data Science,21,629,Female,2024-01-29
31,Ayesha,Williams,Germany,Computer Science,21,498,Male,2022-04-05
32,Hina,Brown,Canada,AI,18,834,Male,2024-01-31
33,Hina,Williams,UK,AI,23,958,Female,2024-08-17
34,Daniel,Taylor,UK,Business Analytics,26,972,Female,2023-11-29
35,Maria,Brown,USA,Business Analytics,28,561,Male,2023-12-15
36,David,Hussain,Germany,Software Eng,21,663,Male,2024-08-28
37,Sara,Johnson,UK,Data Science,29,931,Female,2022-10-03
38,John,Williams,UK,Software Eng,22,594,Female,2024-03-17
39,Hina,Hussain,Germany,Software Eng,20,447,Male,2023-10-21
40,Fatima,Johnson,Canada,Software Eng,28,881,Female,2023-01-13
41,Ayesha,Brown,Pakistan,Software Eng,30,512,Male,2024-06-09
42,Ali,Hussain,Canada,Software Eng,18,599,Female,2024-06-01
43,Fatima,Iqbal,Germany,Computer Science,22,688,Male,2023-08-29
44,John,Ahmed,UK,Data Science,28,586,Female,2022-07-14
45,Maria,Khan,India,Business Analytics,26,240,Female,2022-03-23
46,Maria,Smith,Canada,Data Science,30,862,Female,2023-11-02
